variable,incl,added_dt
next_month_return,0,3/29/24
px_close,0,3/29/24
px_close_avg,0,3/29/24
volume,0,3/29/24
px_mom,0,3/29/24
px_vol_18m,0,3/29/24
px_avg_vol_3m,0,3/29/24
px_avg_vol_6m,0,3/29/24
px_avg_vol_9m,0,3/29/24
px_avg_vol_12m,0,3/29/24
px_avg_vol_18m,0,3/29/24
calendardate,0,3/29/24
datekey,0,3/29/24
reportperiod,0,3/29/24
accoci,0,3/29/24
assets,0,3/29/24
assetsavg,0,3/29/24
assetsc,0,3/29/24
assetsnc,0,3/29/24
assetturnover,0,3/29/24
bvps,0,3/29/24
capex,0,3/29/24
cashneq,0,3/29/24
cashnequsd,0,3/29/24
cor,0,3/29/24
consolinc,0,3/29/24
currentratio,0,3/29/24
de,0,3/29/24
debt,0,3/29/24
debtc,0,3/29/24
debtnc,0,3/29/24
debtusd,0,3/29/24
deferredrev,0,3/29/24
depamor,0,3/29/24
deposits,0,3/29/24
divyield,0,3/29/24
dps,0,3/29/24
ebit,0,3/29/24
ebitda,0,3/29/24
ebitdamargin,0,3/29/24
ebitdausd,0,3/29/24
ebitusd,0,3/29/24
ebt,0,3/29/24
eps,0,3/29/24
epsdil,0,3/29/24
epsusd,0,3/29/24
equity,0,3/29/24
equityavg,0,3/29/24
equityusd,0,3/29/24
evebitda,0,3/29/24
fcf,0,3/29/24
fcfps,0,3/29/24
fxusd,0,3/29/24
gp,0,3/29/24
grossmargin,0,3/29/24
intangibles,0,3/29/24
intexp,0,3/29/24
invcap,0,3/29/24
invcapavg,0,3/29/24
inventory,0,3/29/24
investments,0,3/29/24
investmentsc,0,3/29/24
investmentsnc,0,3/29/24
liabilities,0,3/29/24
liabilitiesc,0,3/29/24
liabilitiesnc,0,3/29/24
marketcap,0,3/29/24
ncf,0,3/29/24
ncfbus,0,3/29/24
ncfcommon,0,3/29/24
ncfdebt,0,3/29/24
ncfdiv,0,3/29/24
ncff,0,3/29/24
ncfi,0,3/29/24
ncfinv,0,3/29/24
ncfo,0,3/29/24
ncfx,0,3/29/24
netinc,0,3/29/24
netinccmn,0,3/29/24
netinccmnusd,0,3/29/24
netincdis,0,3/29/24
netincnci,0,3/29/24
netmargin,0,3/29/24
opex,0,3/29/24
opinc,0,3/29/24
payables,0,3/29/24
payoutratio,0,3/29/24
pe1,0,3/29/24
ppnenet,0,3/29/24
prefdivis,0,3/29/24
price,0,3/29/24
ps1,0,3/29/24
receivables,0,3/29/24
retearn,0,3/29/24
revenue,0,3/29/24
revenueusd,0,3/29/24
rnd,0,3/29/24
ros,0,3/29/24
sbcomp,0,3/29/24
sgna,0,3/29/24
sharefactor,0,3/29/24
sharesbas,0,3/29/24
shareswa,0,3/29/24
shareswadil,0,3/29/24
sps,0,3/29/24
tangibles,0,3/29/24
taxassets,0,3/29/24
taxexp,0,3/29/24
taxliabilities,0,3/29/24
tbvps,0,3/29/24
workingcapital,0,3/29/24
ev,0,3/29/24
evebit,0,3/29/24
pb,0,3/29/24
fcfmargin_dyoy,0,3/29/24
cor_yoy,0,3/29/24
intexp_yoy,0,3/29/24
inventory_yoy,0,3/29/24
liabilitiesc_yoy,0,3/29/24
debtnc_yoy,0,3/29/24
px_pct_3m,1,3/29/24
px_pct_6m,1,3/29/24
px_yoy,1,3/29/24
px_pct_18m,1,3/29/24
px_avg_mom,1,3/29/24
px_avg_pct_3m,1,3/29/24
px_avg_pct_6m,1,3/29/24
px_avg_yoy,1,3/29/24
px_avg_pct_18m,1,3/29/24
volume_mom,1,3/29/24
volume_pct_3m,1,3/29/24
volume_pct_6m,1,3/29/24
volume_yoy,1,3/29/24
volume_pct_18m,1,3/29/24
px_momentum_3m,1,3/29/24
px_momentum_6m,1,3/29/24
px_momentum_9m,1,3/29/24
px_avg_momentum_3m,1,3/29/24
px_avg_momentum_6m,1,3/29/24
px_avg_momentum_9m,1,3/29/24
px_vol_3m,1,3/29/24
px_vol_6m,1,3/29/24
px_vol_9m,1,3/29/24
px_vol_12m,1,3/29/24
px_chg_3m_vol_12m,1,3/29/24
px_chg_6m_vol_12m,1,3/29/24
px_chg_12m_vol_12m,1,3/29/24
px_momentum_3m_vol_12m,1,3/29/24
px_momentum_6m_vol_12m,1,3/29/24
px_momentum_9m_vol_12m,1,3/29/24
px_avg_momentum_3m_vol_12m,1,3/29/24
px_avg_momentum_6m_vol_12m,1,3/29/24
px_avg_momentum_9m_vol_12m,1,3/29/24
px_momentum_3m_l3,1,3/29/24
px_momentum_6m_l3,1,3/29/24
px_momentum_9m_l3,1,3/29/24
px_avg_momentum_3m_l3,1,3/29/24
px_avg_momentum_6m_l3,1,3/29/24
px_avg_momentum_9m_l3,1,3/29/24
px_momentum_3m_chg_3m,1,3/29/24
px_momentum_6m_chg_3m,1,3/29/24
px_momentum_9m_chg_3m,1,3/29/24
px_avg_momentum_3m_chg_3m,1,3/29/24
px_avg_momentum_6m_chg_3m,1,3/29/24
px_avg_momentum_9m_chg_3m,1,3/29/24
px_momentum_3m_vol_12m_l3,1,3/29/24
px_momentum_6m_vol_12m_l3,1,3/29/24
px_momentum_9m_vol_12m_l3,1,3/29/24
px_momentum_3m_vol_12m_chg_3m,1,3/29/24
px_momentum_6m_vol_12m_chg_3m,1,3/29/24
px_momentum_9m_vol_12m_chg_3m,1,3/29/24
roa,1,3/29/24
roe,1,3/29/24
roic,1,3/29/24
pe,1,3/29/24
ps,1,3/29/24
opmargin,1,3/29/24
fcfmargin,1,3/29/24
netdebt,1,3/29/24
debt_ebit,1,3/29/24
debt_ebitda,1,3/29/24
netdebt_ebit,1,3/29/24
netdebt_ebitda,1,3/29/24
interest_ebit,1,3/29/24
roe_dyoy,1,3/29/24
roa_dyoy,1,3/29/24
grossmargin_dyoy,1,3/29/24
netmargin_dyoy,1,3/29/24
ebitdamargin_dyoy,1,3/29/24
opmargin_dyoy,1,3/29/24
debt_ebit_dyoy,1,3/29/24
debt_ebitda_dyoy,1,3/29/24
interest_ebit_dyoy,1,3/29/24
netdebt_ebit_dyoy,1,3/29/24
netdebt_ebitda_dyoy,1,3/29/24
revenueusd_yoy,1,3/29/24
cashnequsd_yoy,1,3/29/24
debtusd_yoy,1,3/29/24
ebitusd_yoy,0,3/29/24
ebitdausd_yoy,0,3/29/24
shareswa_yoy,1,3/29/24
revenue_yoy,1,3/29/24
opex_yoy,1,3/29/24
netinc_yoy,0,3/29/24
capex_yoy,0,3/29/24
ppnenet_yoy,1,3/29/24
debt_yoy,1,3/29/24
ebit_yoy,0,3/29/24
fcf_yoy,0,3/29/24
gp_yoy,0,3/29/24
opinc_yoy,0,3/29/24
epsusd_yoy,0,3/29/24
fcfps_yoy,0,3/29/24
peg,1,3/29/24
psg,1,3/29/24
revenueusd_3mom,0,4/24/24
cashnequsd_3mom,1,4/24/24
debtusd_3mom,0,4/24/24
ebitusd_3mom,0,4/24/24
ebitdausd_3mom,0,4/24/24
shareswa_3mom,1,4/24/24
revenue_3mom,1,4/24/24
cor_3mom,1,4/24/24
opex_3mom,1,4/24/24
intexp_3mom,0,4/24/24
netinc_3mom,0,4/24/24
capex_3mom,0,4/24/24
ppnenet_3mom,1,4/24/24
inventory_3mom,1,4/24/24
liabilitiesc_3mom,1,4/24/24
debt_3mom,1,4/24/24
debtnc_3mom,1,4/24/24
ebit_3mom,0,4/24/24
fcf_3mom,0,4/24/24
gp_3mom,0,4/24/24
opinc_3mom,0,4/24/24
epsusd_3mom,0,4/24/24
fcfps_3mom,0,4/24/24
roe_d3mom,1,4/24/24
roa_d3mom,1,4/24/24
grossmargin_d3mom,1,4/24/24
netmargin_d3mom,1,4/24/24
ebitdamargin_d3mom,1,4/24/24
opmargin_d3mom,1,4/24/24
fcfmargin_d3mom,1,4/24/24
debt_ebit_d3mom,1,4/24/24
debt_ebitda_d3mom,1,4/24/24
interest_ebit_d3mom,1,4/24/24
netdebt_ebit_d3mom,1,4/24/24
netdebt_ebitda_d3mom,1,4/24/24
shareswa_yoy_d3mom,1,4/24/24
revenue_yoy_d3mom,1,4/24/24
cor_yoy_d3mom,1,4/24/24
opex_yoy_d3mom,1,4/24/24
intexp_yoy_d3mom,0,4/24/24
netinc_yoy_d3mom,0,4/24/24
capex_yoy_d3mom,0,4/24/24
ppnenet_yoy_d3mom,1,4/24/24
inventory_yoy_d3mom,1,4/24/24
liabilitiesc_yoy_d3mom,1,4/24/24
debt_yoy_d3mom,1,4/24/24
debtnc_yoy_d3mom,1,4/24/24
ebit_yoy_d3mom,0,4/24/24
fcf_yoy_d3mom,0,4/24/24
gp_yoy_d3mom,0,4/24/24
opinc_yoy_d3mom,0,4/24/24
epsusd_yoy_d3mom,0,4/24/24
fcfps_yoy_d3mom,0,4/24/24
roe_dyoy_d3mom,1,4/24/24
roa_dyoy_d3mom,1,4/24/24
grossmargin_dyoy_d3mom,1,4/24/24
netmargin_dyoy_d3mom,1,4/24/24
ebitdamargin_dyoy_d3mom,1,4/24/24
opmargin_dyoy_d3mom,1,4/24/24
fcfmargin_dyoy_d3mom,1,4/24/24
debt_ebit_dyoy_d3mom,1,4/24/24
debt_ebitda_dyoy_d3mom,1,4/24/24
interest_ebit_dyoy_d3mom,1,4/24/24
netdebt_ebit_dyoy_d3mom,1,4/24/24
netdebt_ebitda_dyoy_d3mom,1,4/24/24
px_pct_2m,1,5/3/24
ebitmargin,1,5/3/24
equity_asset,1,5/3/24
retearn_asset,1,5/3/24
capex_asset,1,5/3/24
epsusd_dyoy,1,5/3/24
assetturnover_dyoy,1,5/3/24
divyield_dyoy,1,5/3/24
fcfps_dyoy,1,5/3/24
pe_dyoy,1,5/3/24
ps_dyoy,1,5/3/24
roic_dyoy,1,5/3/24
ros_dyoy,0,5/3/24
ebitmargin_dyoy,1,5/3/24
capex_asset_dyoy,1,5/3/24
equity_asset_dyoy,1,5/3/24
retearn_asset_dyoy,1,5/3/24
investments_yoy,1,5/3/24
sbcomp_yoy,1,5/3/24
depamor_yoy,1,5/3/24
rnd_yoy,1,5/3/24
epsusd_d3mom,1,5/3/24
fcfps_d3mom,1,5/3/24
pe_d3mom,1,5/3/24
ps_d3mom,1,5/3/24
ebitmargin_d3mom,1,5/3/24
capex_asset_d3mom,1,5/3/24
equity_asset_d3mom,1,5/3/24
retearn_asset_d3mom,1,5/3/24
epsusd_dyoy_d3mom,1,5/3/24
fcfps_dyoy_d3mom,1,5/3/24
ebitmargin_dyoy_d3mom,1,5/3/24
capex_asset_dyoy_d3mom,1,5/3/24
equity_asset_dyoy_d3mom,1,5/3/24
retearn_asset_dyoy_d3mom,1,5/3/24
investments_3mom,1,5/15/24
sbcomp_3mom,1,5/15/24
depamor_3mom,1,5/15/24
rnd_3mom,1,5/15/24
assetturnover_d3mom,1,5/15/24
divyield_d3mom,1,5/15/24
roic_d3mom,1,5/15/24
ros_d3mom,1,5/15/24