variable,importance,model_id,incl,reverse
assetturnover_dyoy,99.56010437,132,0,0
capex_asset_dyoy,84.95755768,132,0,0
cashnequsd_yoy,78.47158051,132,0,0
debt_ebit,463.9292603,132,0,1
debt_ebit_dyoy,96.99639893,132,0,1
debt_ebitda,103.0431976,132,0,1
debt_ebitda_dyoy,83.9114151,132,0,1
debt_yoy,89.56735229,132,0,1
depamor_yoy,78.4569397,132,0,0
divyield_dyoy,251.6833649,132,0,0
ebitdamargin_dyoy,72.62192535,132,0,0
epsusd_dyoy,92.82151794,132,0,0
equity_asset,120.7891617,132,0,0
fcfps_dyoy,73.83768463,132,0,0
grossmargin_dyoy,89.6415329,132,0,0
interest_ebit,105.5756149,132,0,1
interest_ebit_dyoy,88.54153442,132,0,1
investments_3mom,79.83644867,132,0,0
netdebt,201.3604279,132,0,1
netdebt_ebit,140.9597778,132,0,1
netdebt_ebit_dyoy,99.81188965,132,0,1
netdebt_ebitda,92.19241333,132,0,1
netdebt_ebitda_dyoy,76.53588867,132,0,1
netmargin_dyoy,90.52925873,132,0,0
opex_yoy,106.5619049,132,0,0
opmargin,253.7790222,132,0,0
opmargin_dyoy,104.9147263,132,0,0
pe,743.1987305,132,1,1
pe_dyoy,97.6164093,132,1,0
peg,76.36547089,132,0,1
ppnenet_yoy,117.8072968,132,0,0
ps,168.6687927,132,1,1
ps_dyoy,94.20602417,132,1,0
psg,104.8253555,132,1,1
px_avg_mom,85.91759491,132,1,0
px_avg_momentum_3m,169.1917114,132,1,0
px_avg_momentum_3m_chg_3m,76.02075195,132,1,0
px_avg_momentum_3m_l3,92.35223389,132,1,0
px_avg_momentum_6m,263.6417236,132,1,0
px_avg_momentum_6m_chg_3m,77.79236603,132,1,0
px_avg_momentum_6m_l3,101.254097,132,1,0
px_avg_momentum_9m,296.0015564,132,1,0
px_avg_momentum_9m_chg_3m,83.10377502,132,1,0
px_avg_momentum_9m_l3,86.99211884,132,1,0
px_avg_momentum_9m_vol_12m,80.45302582,132,1,0
px_avg_pct_3m,95.47335815,132,1,0
px_avg_pct_6m,136.987793,132,1,0
px_chg_12m_vol_12m,153.6801453,132,1,0
px_momentum_3m,227.9900208,132,1,0
px_momentum_3m_chg_3m,81.94488525,132,1,0
px_momentum_3m_l3,86.16512299,132,1,0
px_momentum_3m_vol_12m,113.2425842,132,1,0
px_momentum_6m,168.7034149,132,1,0
px_momentum_6m_chg_3m,81.47884369,132,1,0
px_momentum_6m_l3,108.5506134,132,1,0
px_momentum_6m_vol_12m_l3,85.46351624,132,1,0
px_momentum_9m,316.0140381,132,1,0
px_momentum_9m_chg_3m,102.8861389,132,1,0
px_momentum_9m_l3,162.6024323,132,1,0
px_momentum_9m_vol_12m,126.3418808,132,1,0
px_momentum_9m_vol_12m_chg_3m,79.64202881,132,1,0
px_momentum_9m_vol_12m_l3,78.46508789,132,1,0
px_pct_18m,207.7234344,132,1,0
px_pct_3m,138.8983765,132,1,0
px_pct_6m,228.8656921,132,1,0
px_vol_12m,3431.051025,132,1,0
px_vol_3m,80.09941101,132,1,0
px_vol_6m,84.88529968,132,1,0
px_vol_9m,294.9186096,132,1,0
px_yoy,386.8095093,132,1,0
retearn_asset_dyoy,134.6679993,132,0,0
revenue_3mom,89.06474304,132,0,0
rnd_yoy,133.6413727,132,0,0
roa,247.7812195,132,0,0
roe,98.78491211,132,0,0
roe_dyoy,105.950676,132,0,0
roic,117.4761429,132,0,0
roic_dyoy,89.09572601,132,0,0
sbcomp_3mom,266.1086731,132,0,0
shareswa_yoy,162.9201355,132,0,0
volume_mom,80.27912903,132,1,0
volume_pct_18m,130.8077087,132,1,0
volume_pct_3m,85.64885712,132,1,0
volume_pct_6m,109.4696121,132,1,0
volume_yoy,168.6862793,132,1,0